iata,icao,airport
RCQ,SATR,Reconquista Airport
LLS,SATK,Alferez Armando Rodriguez Airport
RCU,SAOC,Las Higueras Airport
NCJ,SAFS,Sunchales Airport
RDS,SAHS,Rincon de los Sauces Airport
REL,SAVT,Almirante Marcos A. Zar Airport
VDR,SAOD,Villa Dolores Airport
MCS,SARM,Monte Caseros Airport
EZE,SAEZ,Ministro Pistarini International Airport
LHS,SAVH,Las Heras Airport
LGS,SAMM,Comodoro D. Ricardo Salomon Airport
BHI,SAZB,Comandante Espora Airport
MDQ,SAZM,Astor Piazzolla International Airport
LCM,SACC,La Cumbre Airport
RES,SARE,Resistencia International Airport
NQN,SAZN,Presidente Peron International Air
MDX,SATM,Mercedes Airport
VDM,SAVV,Gobernador Edgardo Castello Airport
RGA,SAWE,Hermes Quijada International Airport
RGL,SAWG,Piloto Civil Norberto Fernandez International Airport
EQS,SAVE,Esquel Airport
MDZ,SAME,Gov. Francisco Gabrielli International Airport (El Plumerillo)
RHD,SANR,Termas de Rio Hondo Airport
AOL,SARL,Paso de los Libres Airport
IGR,SARI,Cataratas del Iguazu International Airport
IGB,SAVJ,Ingeniero Jacobacci Airport (Capitan FAA H. R. Borden Airport)
NEC,SAZO,Necochea Airport
PPG,NSTU,Pago Pago International Airport
OFU,NSAS,Ofu Airport
LNZ,LOWL,Linz Airport (Blue Danube Airport)
SZG,LOWS,Salzburg Airport
KLU,LOWK,Klagenfurt Airport
GRZ,LOWG,Graz Airport
INN,LOWI,Innsbruck Airport (Kranebitten Airport)
VIE,LOWW,Vienna International Airport
HOH,LOIH,Hohenems-Dornbirn Airport
PHQ,YTMO,The Monument Airport
MSF,YMNS,Mount Swan Airport
AAB,YARY,Arrabury Airport
XTO,YTAM,Taroom Airport
MXU,YMWA,Mullewa Airport
CED,YCDU,Ceduna Airport
HVB,YHBA,Hervey Bay Airport
DCN,YCIN,RAAF Base Curtin
XTG,YTGM,Thargomindah Airport
HWK,YHAW,Wilpena Pound Airport
MXD,YMWX,Marion Downs Airport
RPM,YNGU,Ngukurr Airport
HXX,YHAY,Hay Airport
DDN,YDLT,Delta Downs Airport
CES,YCNK,Cessnock Airport
RPB,YRRB,Roper Bar Airport
ROK,YBRK,Rockhampton Airport
ROH,YROB,Robinhood Airport
MWY,YMIR,Miranda Downs Airport
LRE,YLRE,Longreach Airport
RMK,YREN,Renmark Airport
RMA,YROM,Roma Airport
MWT,YMWT,Moolawatana Airport
ABG,YABI,Abingdon Airport
ABH,YAPH,Alpha Airport
XRH,YSRI,RAAF Base Richmond
IDK,YIDK,Indulkana Airport
MWB,YMRW,Morawa Airport
ABM,YNPE,Northern Peninsula Airport
IFF,YIFY,Iffley Airport
IFL,YIFL,Innisfail Airport
IGH,YIGM,Ingham Airport
BHQ,YBHI,Broken Hill Airport
ZNE,YNWN,Newman Airport
BHS,YBTH,Bathurst Airport
CFI,YCFD,Camfield Airport
ABX,YMAY,Albury Airport
MVU,YMGV,Musgrave Airport
RHL,YRYH,Roy Hill Station Airport
IKP,YIKM,Inkerman Airport
INJ,YINJ,Injune Airport
CFS,YCFS,Coffs Harbour Airport
RCM,YRMD,Richmond Airport
INM,YINN,Innamincka Airport
RBU,YROE,Roebourne Airport
DGD,YDGA,Dalgaranga Airport
DGE,YMDG,Mudgee Airport
RBS,YORB,Orbost Airport
RBC,YROI,Robinvale Airport
MVK,YMUK,Mulka Airport
IRG,YLHR,Lockhart River Airport
XMY,YYMI,Yam Island Airport
RAM,YRNG,Ramingining Airport
ISA,YBMA,Mount Isa Airport
ISI,YISF,Isisford Airport
XML,YMIN,Minlaton Airport
IVR,YIVL,Inverell Airport
XMC,YMCO,Mallacoota Airport
IVW,YINW,Inverway Airport
LST,YMLT,Launceston Airport
PXH,YPMH,Prominent Hill Airport
DHD,YDRH,Durham Downs Airport
ADL,YPAD,Adelaide Airport
JAB,YJAB,Jabiru Airport
JAD,YPJT,Jandakot Airport
ADO,YAMK,Andamooka Airport
LSY,YLIS,Lismore Airport
CGV,YCAG,Caiguna Airport
JCK,YJLC,Julia Creek Airport
MUQ,YMUC,Muccan Station Airport
ZGL,YSGW,South Galway Airport
MUP,YMUP,Mulga Park Airport
PUG,YPAG,Port Augusta Airport
PTJ,YPOD,Portland Airport
PRD,YPDO,Pardoo Airport
