iata,icao,airline
B9,BGD,*Air Bangladesh*
AK,AXM,AirAsia
D7,XAX,AirAsia X
DJ,WAJ,AirAsia Japan
I5,IAD,AirAsia India
6V,AXY,*Axis Airways*
EX,BJK,Atlantic Airlines
3G,AYZ,*Atlant-Soyuz Airlines*
AZ,AZA,Alitalia
ZE,AZE,Arcus-Air Logistic
A2,AZI,Astra Airlines
R7,OCA,Aserca Airlines
RX,AEH,*Aviaexpress*
MQ,EGF,American Eagle Airlines
ZS,AZI,*Azzurra Air*
ML,ETC,African Transport Trading and Investment Company
WI,WIL,Aero Air
VU,VUN,*Air Ivoire*
BP,BOT,Air Botswana
GS,UPA,*Air Foyle*
VT,VTA,Air Tahiti
3N,URG,Air Urga
VL,VIM,Air VIA
FK,WTA,Africa West
G2,VXG,Avirex
V8,VAS,ATRAN Cargo Airlines
K6,KHV,Angkor Air
CA,CCA,Air China
Q6,CDP,Aero Condor Peru
5F,CIR,Arctic Circle Air Service
QC,CRD,*Air Corridor*
NV,CRF,*Air Central*
CV,CVA,Air Chathams
CW,CWM,Air Marshall Islands
AH,DAH,Air Algérie
ER,DHL,*Astar Air Cargo*
EN,DLA,Air Dolomiti
NM,DRD,*Air Madrid*
6R,DRU,Alrosa Air Company
EE,EAY,*Aero Airlines*
4F,ECE,Air City
E8,ELG,*Alpi Eagles*
RF,EOK,Aero K
KY,EQL,*Air São Tomé and Príncipe*
E2/E6,EWE/EWL,Eurowings Europe
PC,FAJ,*Air Fiji*
JH,FDA,Fuji Dream Airlines
OF,FIF,Air Finland
FJ,FJI,Fiji Airways
RC,FLI,Atlantic Airways
QH,FLZ,Aero Leasing
NY,FXI,Air Iceland
2P,GAP,Air Philippines
ZX,GGN,Air Georgian
2U,GIP,Air Guinee Express
0A,GNT,Amber Air
DA,GRG,Air Georgia
LL,GRO,*Allegro*
5Y,GTI,Atlas Air
GG,GUY,Air Guyane
H9,HAD,Air d'Ayiti
GG,HAH,Air Comores International
HD,HLN,*Air Holland*
8C,HZT,Air Horizon
W9,JAB,Air Bagan
IP,JOL,Atyrau Air Ways
QK,JZA,Air Canada Jazz
KK,KKK,Atlasjet
JS,KOR,Air Koryo
KC,KZR,Air Astana
LV,LBC,Albanian Airlines
3S,BOX,Aerologic
QP,AKJ,Akasa Air
H7,LFA,Air Alfa
D4,LID,Alidaunia
9I,LLR,Air India Regional
XL,LNE,Aerolane
4Z,LNK,Airlink
FL,LPA,Air Leap
A6,LPV,Air Alps Aviation
TD,LUR,Atlantis European Airways
L8,LXG,Air Luxor GB
LK,LXR,Air Luxor
MK,MAU,Air Mauritius
MD,MDG,Air Madagascar
9U,MLD,Air Moldova
L9,MLI,*Air Mali*
A7,MPD,Air Plus Comet
QO,MPX,Aeromexpress
MR,MRT,Air Mauritanie
F4,NBK,Albarka Air
AJ,NIG,Aero Contractors
8Y,PBU,Air Burundi
OT,PEL,Aeropelican Air Services
AD,PRZ,*Air Paradise International*
QD,QCL,Air Class Líneas Aéreas
QS,QSC,African Safari Airways
4Y,RBU,Airbus France
AG,ARU,Aruba Airlines
MC,RCH,Air Mobility Command
RE,REA,Aer Arann
UU,REU,Air Austral
ZP,AZP,Amaszonas Paraguay
6K,RIT,Asian Spirit
A5,RLA,Airlinair
NZ,RLK,*Air Nelson*
QL,RLN,Aero Lanka
R3,RME,*Armenian Airlines*
MV,RML,*Air Mediterranean*
2O,RNE,Air Salone
U8,RNV,*Armavia*
BQ,ROM,*Aeromar Lineas Aereas Dominicanas*
P5,RPB,AeroRepública
E4,RSO,*Aero Asia International*
BF,RSR,Aero-Service
5L,RSU,AeroSur
EX,SDO,Air Santo Domingo
JR,SER,Aero California
Z3,SMJ,Avient Aviation
M3,SPJ,Air Service
8D*,SUW,*Astair*
GM,SVK,Air Slovakia
R3,SYL,Aircompany Yakutia
HC,SZN,Air Senegal
VW,TAO,Aeromar
JY,TCI,Air Turks and Caicos
CG,TOK,Airlines PNG
TY,TPC,Air Calédonie
FL,TRS,AirTran Airways
TS,TSC,Air Transat
EC,TWN,Avialeasing Aviation Company
U7,UGA,Air Uganda
6U,UKR,Air Ukraine
KO,AER,Alaska Central Express
KH,AAH,Aloha Air Cargo
AQ,AAH,*Aloha Airlines*
AA,AAL,American Airlines
WD*,AAN,Amsterdam Airlines
HO,DJA,*Antinea Airlines*
OZ,AAR,Asiana Airlines
AG,ABR,ASL Airlines Ireland
8V,ACP,Astral Aviation
XM,XME,Australian airExpress
AO,AUZ,*Australian Airlines*
XP,VXP,Avelo Airlines
VE,AVE,*Avensa*
6A,CHP,Aviacsa
AV,AVA,Avianca
A0,MCJ,Avianca Argentina
O6,ONE,Avianca Brasil
2K,GLG,Avianca Ecuador
V5,VLI,*Avolar Aerolíneas*
AD,AZU,Azul Linhas Aéreas Brasileiras
CJ,CFE,BA CityFlyer
TH,BRT,BA Connect
B4,BCF,BACH Flugbetriebsges
J4,BDR,Badr Airlines
UP,BHS,Bahamasair
8Q*,BAJ,Baker Aviation
V9,BTC,BAL Bashkirian Airlines
LZ,LAZ,Balkan Bulgarian Airlines
BQ,BTL,Baltia Air Lines
QH,BAV,Bamboo Airways
QO,AJC,Bar Harbor Airlines
L9,BAL,Belle Air Europe
BA,BAW,British Airways
BG,BBC,Biman Bangladesh Airlines
BO,BBD,Bluebird Nordic
BO,BBW,BB Airways
SI,BCI,Blue Islands
EO,BCL,British Caribbean Airways
WX,BCY,CityJet
BZ,BDA,Blue Dart Aviation
JA,BON,B&H Airlines
J4,BFL,Buffalo Airways
8H,BGH,BH Air
A8,BGL,Benin Golf Air
U4,BHA,Buddha Air
UH,BHL,Bristow Helicopters
4T,BHP,Belair Airlines
BS,BIH,British International Helicopters
B4,BKA,Bankair
PG,BKP,Bangkok Airways
KF,BLF,Blue1
JV,BLS,Bearskin Lake Air Service
B3,BLV,Bellview Airlines
BD,BMA,BMI
BM,BMR,BMI Regional
WW,BMI,Bmibaby
CH,BMJ,Bemidji Airlines
5Z,BML,Bismillah Airlines
BN,BNF,Braniff International Airways
AB,BNZ,Bonza
BO,BOU,Bouraq Indonesia Airlines
BV,BPA,Blue Panorama Airlines
7R,BRB,BRA-Transportes Aéreos
8E,BRG,Bering Air
TH,BRT,British Regional Airlines
B2,BRU,Belavia Belarusian Airlines
GQ,BSY,Big Sky Airlines
ID,BTK,Batik Air
4B,BTQ,Boutique Air
Y6,BTV,Batavia Air
L9,BTZ,Bristow U.S. LLC
1T,BUC,Bulgarian Air Charter
BU,BUN,Buryat Airlines Aircompany
J8,BVT,Berjaya Air
B3,BVU,"Bellview Airlines, Sierra Leone"
QW,BWG,Blue Wings
SN,BXI,Brussels Airlines
DB,BZH,Brit Air
JD,CBJ,Beijing Capital Airlines
E9,CXS,Boston-Maine Airways
SN,BEL,Brussels Airlines
NT,IBB,Binter Canarias
0B,BLA,Blue Air
KJ,LAJ,British Mediterranean Airways
FB,LZB,Bulgaria Air
8N,NKF,Barents AirLink
OB,BOV,Boliviana de Aviación
YB,BRJ,Borajet
MX,MXY,Breeze Airways
4A,DYN,California Pacific Airlines
QC,CRC,Camair-Co
7N,PWD,Pawa Dominicana
KR,KME,Cambodia Airways
5C,ICL,CAL Cargo Air Lines
AW,SCH,CHC Airways
3C,CMV,Calima Aviación
MO,CAV,Calm Air
R9,CAM,Camai Air
K6,KHV,Cambodia Angkor Air
UY,UYC,*Cameroon Airlines*
C6,CJA,CanJet
CP,CDN,*Canadian Airlines*
7F,AKT,Canadian North
CP,CPC,*Canadian Pacific Airlines*
W2,CWA,Canadian Western Airlines
9K,KAP,Cape Air
PT,CCI,Capital Cargo International Airlines
GG,GGC,Cargo 360
P3,CLU,Cargo Logic Air
2G,CRG,Cargoitalia
W8,CJT,Cargojet Airways
CV,CLX,Cargolux
C8,ICV,Cargolux Italia
BW,BWA,Caribbean Airlines
8B,GFI,Caribbean Star Airlines
V3,KRP,Carpatair
RV,CPN,Caspian Airlines
*KA*,HDA,*Cathay Dragon*
CX,CPA,Cathay Pacific
KX,CAY,Cayman Airways
5J,CEB,Cebu Pacific
9M,GLR,Central Mountain Air
J7,CVC,Centre-Avia
WE,CWC,Centurion Air Cargo
OP,CHK,Chalk's International Airlines
MG,CCP,Champion Air
2Z,CGN,Chang An Airlines
S8,CSU,Chari Aviation Services
RP*,CHQ,Chautauqua Airlines
C8,WDY,*Chicago Jet Group*
CI,CAL,China Airlines
CK,CKK,China Cargo Airlines
MU,CES,China Eastern Airlines
G5,HXA,China Express Airlines
CJ,CBF,*China Northern Airlines*
WH,CNW,*China Northwest Airlines*
8Y,CYZ,China Postal Airlines
CZ,CSN,China Southern Airlines
KN,CUA,China United Airlines
XO,CXH,China Xinhua Airlines
3Q,CYH,*China Yunnan Airlines*
X7,CHF,Chitaavia
OQ,CQN,Chongqing Airlines
A2,CIU,Cielos Airlines
QI,CIM,Cimber Sterling
C7,CIN,Cinnamon Air
C9,RUS,Cirrus Airlines
G3,CIX,City Connexion Airlines
CJ,CFE,*CityFlyer Express*
CT,CAT,*Civil Air Transport*
6P,ISG,Club Air
BX,CST,Coast Air
9L,CJC,*Colgan Air*
YD,CAT,*Cologne Air Transport GmbH*
OH,COM,Comair
MN,CAW,Comair
C5,UCA,CommutAir
KR,CWK,Comores Airlines
CP,CPZ,Compass Airlines
DE,CFG,Condor Flugdienst
CO,COA,Continental Airlines
CS,CMI,Continental Micronesia
CS,Unknown,Cambrian Airways
V0,VCV,Conviasa
CM,CMP,Copa Airlines
CQ,CCW,Central Charter
XC,CAI,Corendon Airlines
CD,CND,Corendon Dutch Airlines
LF,VTE,Contour Airlines
SS,CRL,Corsairfly
XK,CCM,Corse Méditerranée
F5,COZ,Cosmic Air
GW,CRG,Costa Rica Green Airways
7C,COY,Coyne Aviation
OU,CTN,Croatia Airlines
QE,ECC,Crossair Europe
CU,CUB,Cubana de Aviación
CY,CYP,Cyprus Airways
YK,KYV,Cyprus Turkish Airlines
OK,CSA,Czech Airlines
8L,CGP,Cargo Plus Aviation
5Z,KEM,CemAir
XG,CLI,Clickair
PN,CHB,West Air (China)
V5,VPA,DanubeWings
WD,DSR,DAS Air Cargo
DX,DTR,DAT Danish Air Transport
D0,DHK,DHL Air Limited
ES,DHX,DHL International
